Sample	Number_Read	Number_Mapped_Read	Number_Mapped_Converted_Read	Number_Mapped_Converted_40mapq_Read	Methylation_CpG	Methylation_nonCpG
061-E8-1623	2186683 	2186683 	2186397 	1914816 	13.0%	0.5%
062-F8-1605	2059361 	2059361 	2059171 	1798781 	17.8%	0.5%
063-G8-1361	1881327 	1881327 	1881167 	1659826 	45.8%	0.4%
064-H8-2575	2000029 	2000029 	1999920 	1760207 	16.5%	0.4%
065-A9-580	2443959 	2443959 	2442165 	2130726 	33.4%	0.7%
066-B9-783	2218852 	2218852 	2218265 	1925107 	28.7%	0.6%
067-C9-955	2074886 	2074886 	2074014 	1813956 	41.4%	0.5%
068-D9-2287	1878411 	1878411 	1878236 	1629023 	44.8%	0.4%
069-E9-888	2413517 	2413517 	2413355 	2090387 	20.3%	0.5%
070-F9-1806	2168418 	2168418 	2168271 	1891670 	44.5%	0.4%
071-G9-2046	2479125 	2479125 	2478732 	2148487 	19.4%	0.6%
072-H9-2132	2076146 	2076146 	2075992 	1801539 	29.2%	0.6%
073-A10-2608	2030959 	2030959 	2030612 	1785350 	23.3%	0.4%
074-B10-2293	2324954 	2324954 	2324708 	2024721 	37.7%	0.5%
075-C10-894	2148876 	2148876 	2148552 	1883601 	39.4%	0.5%
076-D10-2315	2169806 	2169806 	2169271 	1900235 	17.1%	0.6%
077-E10-2395	2278666 	2278666 	2278189 	1992244 	16.9%	0.5%
078-F10-2390	1862274 	1862274 	1862184 	1620498 	36.3%	0.4%
079-G10-1919	2332238 	2332238 	2331951 	2031846 	6.8%	0.6%
080-H10-2505	2155071 	2155071 	2154893 	1873047 	32.5%	0.5%
081-A11-985	2053498 	2053498 	2053056 	1809523 	24.5%	0.4%
082-B11-1728	1610346 	1610346 	1610185 	1415598 	22.6%	0.4%
083-C11-1283	1932965 	1932965 	1932880 	1676460 	19.4%	0.4%
084-D11-2606	2237364 	2237364 	2236802 	1937621 	15.4%	0.7%
085-E11-1402	1998681 	1998681 	1998581 	1750279 	15.7%	0.3%
086-F11-417	2109844 	2109844 	2109527 	1840768 	7.4%	0.7%
087-G11-1922	2210390 	2210390 	2209492 	1920187 	26.0%	0.6%
088-H11-2172	2219019 	2219019 	2218437 	1932306 	66.3%	0.5%
089-A12-1858	2201655 	2201655 	2201142 	1912216 	56.4%	0.5%
090-B12-2111	2168951 	2168951 	2168675 	1896259 	31.2%	0.5%
091-C12-0M	2341512 	2341512 	2341419 	2070754 	3.2%	0.3%
092-D12-1M	1935399 	1935399 	1935316 	1663249 	3.8%	0.3%
093-E12-25M	1820685 	1820685 	1820543 	1569222 	27.6%	0.3%
094-F12-50M	1996815 	1996815 	1996748 	1722755 	50.3%	0.3%
095-G12-75M	2207515 	2207515 	2207364 	1920936 	72.8%	0.3%
096-H12-100M	2042370 	2042370 	2042277 	1740137 	96.0%	0.3%
