Amplicon	Cpos	Gpos	001-A1-2531.cov	001-A1-2531.ratio	002-B1-930.cov	002-B1-930.ratio	003-C1-2184.cov	003-C1-2184.ratio	004-D1-1814.cov	004-D1-1814.ratio	005-E1-539.cov	005-E1-539.ratio	006-F1-1607.cov	006-F1-1607.ratio	007-G1-2467.cov	007-G1-2467.ratio	008-H1-1622.cov	008-H1-1622.ratio	009-A2-1962.cov	009-A2-1962.ratio	010-B2-1398.cov	010-B2-1398.ratio	011-C2-2265.cov	011-C2-2265.ratio	012-D2-1608.cov	012-D2-1608.ratio	013-E2-2124.cov	013-E2-2124.ratio	014-F2-1366.cov	014-F2-1366.ratio	015-G2-2649.cov	015-G2-2649.ratio	016-H2-1314.cov	016-H2-1314.ratio	017-A3-1393.cov	017-A3-1393.ratio	018-B3-2148.cov	018-B3-2148.ratio	019-C3-948.cov	019-C3-948.ratio	020-D3-2387.cov	020-D3-2387.ratio	021-E3-903.cov	021-E3-903.ratio	022-F3-2398.cov	022-F3-2398.ratio	023-G3-1747.cov	023-G3-1747.ratio	024-H3-2109.cov	024-H3-2109.ratio	025-A4-2427.cov	025-A4-2427.ratio	026-B4-1767.cov	026-B4-1767.ratio	027-C4-2520.cov	027-C4-2520.ratio	028-D4-1895.cov	028-D4-1895.ratio	029-E4-993.cov	029-E4-993.ratio	030-F4-1721.cov	030-F4-1721.ratio	031-G4-1220.cov	031-G4-1220.ratio	032-H4-2560.cov	032-H4-2560.ratio	033-A5-1365.cov	033-A5-1365.ratio	034-B5-1217.cov	034-B5-1217.ratio	035-C5-2349.cov	035-C5-2349.ratio	036-D5-1650.cov	036-D5-1650.ratio	037-E5-1342.cov	037-E5-1342.ratio	038-F5-462.cov	038-F5-462.ratio	039-G5-2288.cov	039-G5-2288.ratio	040-H5-996.cov	040-H5-996.ratio	041-A6-2272.cov	041-A6-2272.ratio	042-B6-2128.cov	042-B6-2128.ratio	043-C6-579.cov	043-C6-579.ratio	044-D6-1618.cov	044-D6-1618.ratio	045-E6-1923.cov	045-E6-1923.ratio	046-F6-1362.cov	046-F6-1362.ratio	047-G6-584.cov	047-G6-584.ratio	048-H6-1275.cov	048-H6-1275.ratio	049-A7-1616.cov	049-A7-1616.ratio	050-B7-2091.cov	050-B7-2091.ratio	051-C7-2011.cov	051-C7-2011.ratio	052-D7-2497.cov	052-D7-2497.ratio	053-E7-529.cov	053-E7-529.ratio	054-F7-982.cov	054-F7-982.ratio	055-G7-1908.cov	055-G7-1908.ratio	056-H7-1823.cov	056-H7-1823.ratio	057-A8-997.cov	057-A8-997.ratio	058-B8-1617.cov	058-B8-1617.ratio	059-C8-1606.cov	059-C8-1606.ratio	060-D8-2465.cov	060-D8-2465.ratio	061-E8-1623.cov	061-E8-1623.ratio	062-F8-1605.cov	062-F8-1605.ratio	063-G8-1361.cov	063-G8-1361.ratio	064-H8-2575.cov	064-H8-2575.ratio	065-A9-580.cov	065-A9-580.ratio	066-B9-783.cov	066-B9-783.ratio	067-C9-955.cov	067-C9-955.ratio	068-D9-2287.cov	068-D9-2287.ratio	069-E9-888.cov	069-E9-888.ratio	070-F9-1806.cov	070-F9-1806.ratio	071-G9-2046.cov	071-G9-2046.ratio	072-H9-2132.cov	072-H9-2132.ratio	073-A10-2608.cov	073-A10-2608.ratio	074-B10-2293.cov	074-B10-2293.ratio	075-C10-894.cov	075-C10-894.ratio	076-D10-2315.cov	076-D10-2315.ratio	077-E10-2395.cov	077-E10-2395.ratio	078-F10-2390.cov	078-F10-2390.ratio	079-G10-1919.cov	079-G10-1919.ratio	080-H10-2505.cov	080-H10-2505.ratio	081-A11-985.cov	081-A11-985.ratio	082-B11-1728.cov	082-B11-1728.ratio	083-C11-1283.cov	083-C11-1283.ratio	084-D11-2606.cov	084-D11-2606.ratio	085-E11-1402.cov	085-E11-1402.ratio	086-F11-417.cov	086-F11-417.ratio	087-G11-1922.cov	087-G11-1922.ratio	088-H11-2172.cov	088-H11-2172.ratio	089-A12-1858.cov	089-A12-1858.ratio	090-B12-2111.cov	090-B12-2111.ratio	091-C12-0M.cov	091-C12-0M.ratio	092-D12-1M.cov	092-D12-1M.ratio	093-E12-25M.cov	093-E12-25M.ratio	094-F12-50M.cov	094-F12-50M.ratio	095-G12-75M.cov	095-G12-75M.ratio	096-H12-100M.cov	096-H12-100M.ratio
lethal_CACNA2D4::chr12:1906518-1906585	20	22	49459	 4.05	53898	47.24	79494	76.49	64449	27.46	66827	32.18	71705	54.40	71730	49.28	68978	75.26	53024	38.58	47647	 3.21	84946	35.64	99323	64.35	47285	12.12	79332	24.72	44249	 3.93	53252	 4.71	120070	77.64	70182	 3.08	35655	 9.49	124422	74.42	59209	31.04	58404	56.62	46105	 5.03	73443	73.19	67992	32.09	89419	31.83	98265	43.01	79930	37.79	73219	24.16	65378	73.56	61536	49.26	52263	12.86	94642	79.35	41619	 4.49	57152	64.21	72452	32.91	90755	77.81	61685	48.48	55448	24.73	72082	35.85	76489	43.87	37111	 6.87	60232	51.69	63640	38.60	65093	55.90	69834	 7.66	70474	 5.80	78764	33.13	71075	29.51	55612	19.98	101048	72.03	72157	42.29	61364	22.71	65852	44.92	84995	22.89	54506	 8.62	36900	31.39	44715	 3.34	77076	32.61	48241	37.20	44291	22.75	39551	22.24	56429	76.27	68790	33.59	108521	46.01	74108	29.79	81711	56.43	70755	47.79	69598	 6.35	90324	71.83	106065	 3.08	65874	51.10	56459	43.50	61440	 4.53	77739	63.08	56749	32.13	46361	 8.30	63575	36.36	53197	 3.47	57061	 5.84	38494	18.50	34649	43.06	22827	40.86	33252	36.25	41254	14.05	45939	11.26	85953	14.18	179932	77.59	103748	73.04	65015	25.28	5624	 0.07	12934	 0.17	4064	29.38	12712	53.19	12106	76.24	15815	99.95
lethal_CACNA2D4::chr12:1906518-1906585	34	36	49459	 6.82	53898	51.81	79494	77.86	64449	27.56	66827	34.02	71705	54.10	71730	48.17	68978	75.64	53024	40.95	47647	 2.21	84946	37.30	99323	64.90	47285	15.59	79332	25.57	44249	 4.33	53252	 6.21	120070	75.93	70182	 3.00	35655	11.58	124422	74.56	59209	33.15	58404	55.07	46105	 4.35	73443	75.29	67992	33.27	89419	37.50	98265	46.04	79930	44.33	73219	33.37	65378	72.91	61536	52.12	52263	13.01	94642	79.76	41619	 6.13	57152	65.07	72452	36.30	90755	78.52	61685	51.66	55448	25.35	72082	32.52	76489	39.87	37111	 7.59	60232	55.19	63640	41.24	65093	58.10	69834	 9.46	70474	 8.69	78764	32.70	71075	31.40	55612	19.93	101048	71.17	72157	43.57	61364	27.80	65852	47.07	84995	21.99	54506	10.01	36900	35.00	44715	 6.39	77076	33.20	48241	37.79	44291	25.81	39551	23.52	56429	76.85	68790	33.49	108521	64.38	74108	32.20	81711	62.48	70755	46.90	69598	 7.46	90324	72.43	106065	 4.62	65874	54.90	56459	45.31	61440	 6.50	77739	64.15	56749	36.21	46361	 7.77	63575	35.98	53197	 5.58	57061	 6.35	38494	19.18	34649	47.83	22827	42.13	33252	44.11	41254	16.41	45939	18.71	85953	16.54	179932	78.22	103748	72.75	65015	25.55	5624	 0.07	12934	 0.14	4064	29.23	12712	53.09	12106	76.28	15815	95.58
lethal_CACNA2D4::chr12:1906518-1906585	39	41	49459	 3.83	53898	48.00	79494	75.90	64449	25.52	66827	32.90	71705	54.98	71730	47.15	68978	72.62	53024	39.26	47647	 1.37	84946	36.32	99323	64.44	47285	12.69	79332	20.24	44249	 3.67	53252	 3.54	120070	78.60	70182	 3.64	35655	 8.63	124422	74.85	59209	32.54	58404	53.58	46105	 2.94	73443	72.58	67992	27.64	89419	33.28	98265	43.48	79930	38.25	73219	20.93	65378	71.77	61536	49.86	52263	11.85	94642	75.09	41619	 4.94	57152	61.46	72452	35.89	90755	77.24	61685	49.55	55448	24.05	72082	35.72	76489	42.20	37111	 6.42	60232	52.32	63640	42.79	65093	52.29	69834	 6.61	70474	 5.71	78764	33.31	71075	29.26	55612	16.56	101048	69.44	72157	42.40	61364	23.10	65852	42.92	84995	21.96	54506	 6.59	36900	30.60	44715	 2.95	77076	30.87	48241	36.05	44291	24.50	39551	20.54	56429	75.48	68790	33.06	108521	55.90	74108	31.31	81711	59.09	70755	45.75	69598	 8.06	90324	71.29	106065	 1.73	65874	50.99	56459	42.79	61440	 5.45	77739	61.18	56749	31.57	46361	11.89	63575	35.15	53197	 6.97	57061	 5.91	38494	16.71	34649	42.08	22827	39.36	33252	40.33	41254	13.42	45939	10.63	85953	15.01	179932	76.68	103748	70.99	65015	23.24	5624	 0.27	12934	 0.19	4064	29.33	12712	53.12	12106	76.28	15815	89.79
lethal_CACNA2D4::chr12:1906518-1906585	43	45	49459	 7.71	53898	55.71	79494	80.48	64449	28.40	66827	36.87	71705	57.00	71730	49.13	68978	78.84	53024	44.74	47647	 3.68	84946	36.58	99323	72.48	47285	21.28	79332	30.61	44249	 5.77	53252	 7.73	120070	79.11	70182	 6.68	35655	13.62	124422	75.02	59209	35.53	58404	57.19	46105	 6.37	73443	74.37	67992	33.09	89419	39.50	98265	47.27	79930	45.01	73219	40.45	65378	74.82	61536	51.20	52263	13.41	94642	80.89	41619	 6.91	57152	65.70	72452	40.10	90755	78.62	61685	51.26	55448	26.09	72082	35.84	76489	38.26	37111	10.33	60232	55.44	63640	41.25	65093	58.24	69834	 9.66	70474	11.83	78764	34.16	71075	32.04	55612	22.27	101048	71.69	72157	45.64	61364	28.37	65852	49.68	84995	25.48	54506	14.45	36900	34.82	44715	 9.64	77076	34.95	48241	39.75	44291	26.14	39551	25.57	56429	81.02	68790	36.38	108521	63.83	74108	33.17	81711	62.01	70755	50.20	69598	10.37	90324	73.52	106065	 5.34	65874	51.84	56459	47.01	61440	 7.49	77739	66.60	56749	37.79	46361	 9.92	63575	38.25	53197	 5.58	57061	 7.31	38494	21.53	34649	48.56	22827	42.01	33252	43.79	41254	18.18	45939	15.77	85953	19.25	179932	77.55	103748	71.12	65015	24.86	5624	 0.21	12934	 0.28	4064	29.40	12712	46.26	12106	76.25	15815	99.91
lethal_CACNA2D4::chr12:1906518-1906585	46	48	49459	 9.90	53898	53.60	79494	79.36	64449	28.60	66827	37.92	71705	58.10	71730	50.20	68978	76.83	53024	43.14	47647	 4.71	84946	42.53	99323	70.91	47285	18.63	79332	28.99	44249	 5.00	53252	 6.15	120070	78.38	70182	 5.53	35655	13.44	124422	75.26	59209	35.48	58404	56.90	46105	 7.31	73443	77.29	67992	34.06	89419	36.97	98265	46.81	79930	45.17	73219	37.61	65378	75.66	61536	51.31	52263	14.81	94642	81.61	41619	 7.55	57152	65.90	72452	39.98	90755	80.02	61685	52.31	55448	25.93	72082	35.93	76489	45.12	37111	 9.56	60232	57.05	63640	43.27	65093	57.27	69834	11.17	70474	12.19	78764	34.54	71075	33.76	55612	25.08	101048	74.34	72157	45.97	61364	27.73	65852	43.66	84995	24.98	54506	12.28	36900	36.27	44715	 9.05	77076	36.12	48241	38.51	44291	26.84	39551	26.87	56429	78.85	68790	35.57	108521	64.79	74108	34.86	81711	63.75	70755	52.41	69598	14.64	90324	73.03	106065	 7.46	65874	54.40	56459	44.91	61440	 8.61	77739	63.26	56749	36.90	46361	12.38	63575	39.25	53197	 5.97	57061	 7.72	38494	22.90	34649	48.06	22827	42.40	33252	43.95	41254	17.09	45939	20.77	85953	18.47	179932	78.74	103748	72.89	65015	27.89	5624	 0.46	12934	 0.30	4064	29.60	12712	53.24	12106	76.20	15815	99.84
lethal_CACNA2D4::chr12:1906518-1906585	49	51	49459	 7.48	53898	50.66	79494	79.80	64449	27.08	66827	35.69	71705	59.49	71730	51.35	68978	78.31	53024	44.19	47647	 6.09	84946	41.85	99323	67.04	47285	21.10	79332	28.66	44249	 5.67	53252	 8.15	120070	81.08	70182	 4.94	35655	14.00	124422	75.93	59209	37.09	58404	56.02	46105	 4.90	73443	77.44	67992	34.50	89419	42.78	98265	46.52	79930	45.50	73219	39.56	65378	74.89	61536	53.81	52263	12.58	94642	82.45	41619	 7.60	57152	66.02	72452	39.70	90755	81.06	61685	52.97	55448	26.49	72082	37.21	76489	44.53	37111	10.68	60232	56.36	63640	44.82	65093	57.75	69834	10.22	70474	10.46	78764	34.68	71075	33.27	55612	21.55	101048	73.64	72157	46.51	61364	28.57	65852	43.83	84995	25.96	54506	12.07	36900	35.40	44715	 6.09	77076	34.40	48241	39.18	44291	25.04	39551	30.54	56429	80.39	68790	37.55	108521	67.29	74108	35.01	81711	64.15	70755	53.50	69598	15.39	90324	73.76	106065	 6.40	65874	53.32	56459	47.77	61440	 8.32	77739	64.60	56749	37.25	46361	12.69	63575	38.70	53197	 6.77	57061	 8.79	38494	23.61	34649	50.24	22827	43.31	33252	37.35	41254	18.84	45939	19.68	85953	17.96	179932	80.06	103748	71.33	65015	25.72	5624	 0.16	12934	 0.11	4064	29.40	12712	53.18	12106	61.04	15815	99.94
lethal_CACNA2D4::chr12:1906518-1906585	56	58	49459	 6.87	53898	49.44	79494	78.97	64449	27.35	66827	36.88	71705	60.16	71730	50.12	68978	77.63	53024	42.53	47647	 4.09	84946	40.69	99323	72.71	47285	20.13	79332	27.42	44249	 6.39	53252	 5.28	120070	78.33	70182	 5.13	35655	15.45	124422	78.45	59209	38.40	58404	56.05	46105	 5.22	73443	77.77	67992	29.70	89419	39.89	98265	47.85	79930	45.40	73219	31.14	65378	75.65	61536	51.82	52263	14.16	94642	81.04	41619	 5.06	57152	63.44	72452	37.50	90755	80.17	61685	52.86	55448	25.29	72082	34.12	76489	45.26	37111	 9.27	60232	57.08	63640	41.65	65093	58.48	69834	13.65	70474	 9.75	78764	34.70	71075	32.69	55612	21.38	101048	74.87	72157	45.82	61364	29.32	65852	47.36	84995	23.30	54506	11.39	36900	36.72	44715	 4.27	77076	36.76	48241	36.93	44291	26.57	39551	27.96	56429	78.79	68790	36.10	108521	67.56	74108	33.93	81711	63.54	70755	50.69	69598	12.90	90324	74.85	106065	 5.08	65874	53.91	56459	46.18	61440	 8.50	77739	56.21	56749	34.46	46361	11.22	63575	38.40	53197	 4.99	57061	 6.31	38494	18.88	34649	49.40	22827	42.12	33252	41.06	41254	18.94	45939	20.80	85953	17.45	179932	80.38	103748	70.39	65015	24.87	5624	 0.14	12934	 0.22	4064	29.36	12712	53.18	12106	70.45	15815	99.91
lethal_CALM1::chr14:90850149-90850211	-1	1	118226	36.62	46602	59.90	71351	78.06	101508	51.85	126689	24.42	62181	42.79	155265	53.86	32397	34.39	126067	25.57	75021	69.74	138531	10.37	129756	 1.67	73261	18.47	94334	22.73	183202	 5.55	396738	 4.69	103370	77.07	146577	42.56	62273	 5.20	117848	37.34	184006	 9.98	119602	77.02	142290	15.62	79657	27.65	106797	61.80	82241	17.65	117899	39.77	96308	40.91	95909	55.63	246853	11.20	82530	56.97	106719	72.87	61453	65.26	258354	19.36	176896	15.09	134860	 7.48	68716	66.03	178855	27.44	191175	31.25	110746	49.68	244551	16.39	92830	 5.36	104433	37.84	76200	30.57	113372	36.85	114523	 7.23	163174	14.14	144099	38.83	121512	18.60	257923	 5.52	118478	62.39	122828	 1.14	88942	14.92	148145	30.50	93475	29.21	80730	 9.49	77966	47.12	55721	29.64	133105	17.44	146711	19.24	121165	21.13	92266	37.87	103899	25.29	142507	23.64	112522	26.16	50494	15.77	101326	45.32	95023	66.94	170802	13.28	145804	65.45	109655	 2.91	121423	27.35	138868	44.57	110452	59.73	108310	53.94	141444	15.76	121820	16.73	72040	38.02	143842	 7.13	54556	39.51	172911	29.18	58444	38.85	146503	31.13	86234	17.96	96029	10.94	77769	 7.03	54439	23.75	99241	64.50	89654	62.92	172253	12.02	53884	 0.33	62162	 2.66	45240	31.74	77247	57.97	64239	77.38	60130	95.51
lethal_CALM1::chr14:90850149-90850211	7	9	118226	35.48	46602	57.10	71351	78.62	101508	51.40	126689	23.10	62181	43.02	155265	52.95	32397	38.79	126067	23.66	75021	68.80	138531	10.79	129756	 1.35	73261	19.58	94334	21.95	183202	 5.53	396738	 5.69	103370	75.23	146577	41.90	62273	 6.53	117848	30.96	184006	 9.35	119602	77.00	142290	15.57	79657	26.20	106797	60.92	82241	16.62	117899	41.29	96308	39.11	95909	54.06	246853	11.33	82530	56.02	106719	71.96	61453	61.98	258354	20.13	176896	14.77	134860	 7.76	68716	63.89	178855	28.34	191175	30.78	110746	54.31	244551	16.63	92830	 4.86	104433	36.56	76200	30.48	113372	36.38	114523	 9.42	163174	13.08	144099	38.44	121512	19.46	257923	 4.93	118478	62.86	122828	 0.81	88942	12.84	148145	31.66	93475	29.09	80730	 9.94	77966	45.73	55721	29.87	133105	15.46	146711	18.62	121165	23.26	92266	35.76	103899	25.01	142507	23.06	112522	27.09	50494	19.45	101326	43.31	95023	62.44	170802	13.81	145804	66.01	109655	 4.96	121423	28.02	138868	42.63	110452	59.34	108310	52.52	141444	15.12	121820	15.19	72040	37.82	143842	 7.32	54556	42.00	172911	30.39	58444	38.89	146503	30.89	86234	17.29	96029	10.31	77769	 4.25	54439	22.70	99241	63.30	89654	63.52	172253	10.26	53884	 0.67	62162	 1.30	45240	30.47	77247	58.28	64239	78.02	60130	97.13
lethal_CALM1::chr14:90850149-90850211	47	49	118226	35.14	46602	56.21	71351	76.44	101508	50.49	126689	17.69	62181	39.96	155265	52.39	32397	38.18	126067	20.13	75021	66.81	138531	 9.95	129756	 0.20	73261	14.68	94334	20.62	183202	 3.19	396738	 2.25	103370	75.77	146577	39.40	62273	 2.19	117848	22.91	184006	 6.73	119602	74.86	142290	 9.65	79657	11.68	106797	60.22	82241	12.25	117899	37.50	96308	22.53	95909	51.50	246853	10.69	82530	55.25	106719	71.24	61453	48.31	258354	19.15	176896	11.45	134860	 5.79	68716	50.06	178855	26.77	191175	29.36	110746	48.60	244551	16.02	92830	 2.61	104433	31.61	76200	28.01	113372	31.61	114523	 5.01	163174	13.24	144099	34.79	121512	16.89	257923	 3.02	118478	60.12	122828	 0.54	88942	 8.15	148145	25.52	93475	22.94	80730	 7.87	77966	41.63	55721	24.31	133105	13.76	146711	12.19	121165	15.63	92266	33.12	103899	24.25	142507	22.10	112522	17.16	50494	14.77	101326	41.58	95023	65.97	170802	 4.62	145804	65.23	109655	 0.67	121423	24.54	138868	43.72	110452	57.48	108310	44.83	141444	 9.71	121820	14.82	72040	35.55	143842	 2.55	54556	41.11	172911	24.89	58444	34.07	146503	28.09	86234	 9.91	96029	 9.27	77769	 2.53	54439	16.50	99241	62.46	89654	60.04	172253	11.35	53884	 0.56	62162	 0.70	45240	34.17	77247	55.08	64239	78.39	60130	96.38
lethal_CCDC67::chr11:93063575-93063634	22	24	60265	45.15	53264	50.72	63893	35.49	78250	65.58	52903	49.10	57584	53.74	108188	31.74	53727	41.62	83443	19.14	59217	72.31	75054	17.85	113662	39.29	57996	18.05	71800	31.58	71618	24.64	78035	 6.42	111921	68.13	83156	64.64	56229	23.50	118801	52.14	81878	15.69	75491	71.06	79904	 7.37	119607	53.17	119304	39.61	82327	29.87	90179	29.11	81448	33.31	76973	68.77	46227	65.01	66359	45.40	71066	59.38	71294	47.80	82834	 1.17	48790	50.55	75363	21.12	67193	60.53	57482	74.24	72460	28.06	72266	38.50	83207	58.26	49587	 3.36	55958	46.30	68038	52.45	57685	42.85	118648	 2.59	91354	19.61	84141	36.52	84903	25.87	92475	 6.15	105632	58.29	58888	17.39	64030	10.55	102881	18.54	88552	31.04	74172	48.10	41315	26.56	62544	26.24	71391	20.21	54873	54.25	74196	19.59	67312	 8.95	54352	60.84	69247	15.03	135489	38.89	78533	26.60	78860	46.10	60370	66.26	120626	30.03	93966	45.20	146584	 7.00	65880	45.70	48433	49.95	114912	30.05	65246	 6.52	64337	24.72	82939	25.66	53864	27.61	69919	 6.20	71596	43.31	37492	45.71	37586	27.34	46212	 5.09	47436	23.39	36164	15.94	43139	13.53	100695	31.48	124608	69.17	96819	51.09	60962	47.08	215657	 0.29	213050	 0.85	147632	25.24	171864	48.95	147105	73.11	182403	97.81
lethal_CCDC67::chr11:93063575-93063634	32	34	60265	43.56	53264	49.25	63893	32.24	78250	64.40	52903	48.93	57584	56.72	108188	29.15	53727	38.95	83443	13.68	59217	71.28	75054	18.15	113662	28.06	57996	16.68	71800	25.33	71618	22.60	78035	 3.21	111921	67.73	83156	65.07	56229	20.94	118801	51.77	81878	14.78	75491	71.35	79904	 2.62	119607	51.07	119304	30.18	82327	30.24	90179	26.78	81448	33.46	76973	68.05	46227	66.15	66359	41.15	71066	58.81	71294	45.95	82834	 1.40	48790	42.11	75363	20.25	67193	58.38	57482	77.85	72460	26.56	72266	37.86	83207	58.46	49587	 1.75	55958	43.86	68038	39.37	57685	29.25	118648	 3.02	91354	16.57	84141	32.41	84903	24.38	92475	 3.58	105632	44.28	58888	13.94	64030	 6.92	102881	11.22	88552	28.67	74172	44.35	41315	21.43	62544	23.32	71391	15.62	54873	52.80	74196	21.15	67312	 7.22	54352	58.63	69247	 7.34	135489	27.49	78533	23.82	78860	37.87	60370	63.80	120626	20.06	93966	34.97	146584	 6.35	65880	45.87	48433	48.72	114912	29.42	65246	 3.45	64337	19.16	82939	23.58	53864	28.08	69919	 4.63	71596	38.80	37492	43.15	37586	22.29	46212	 1.69	47436	14.73	36164	14.88	43139	 9.60	100695	30.31	124608	67.34	96819	49.11	60962	44.75	215657	 0.25	213050	 1.09	147632	25.36	171864	49.65	147105	73.77	182403	98.20
lethal_CCDC67::chr11:93063575-93063634	40	42	60265	43.43	53264	51.52	63893	32.22	78250	65.87	52903	49.69	57584	51.70	108188	30.61	53727	44.95	83443	17.05	59217	71.84	75054	16.80	113662	35.01	57996	18.42	71800	29.66	71618	24.14	78035	 3.11	111921	68.99	83156	64.94	56229	21.44	118801	53.79	81878	15.67	75491	71.44	79904	 3.73	119607	51.80	119304	35.19	82327	29.91	90179	27.69	81448	33.20	76973	69.10	46227	65.99	66359	45.18	71066	59.15	71294	46.45	82834	 0.99	48790	50.35	75363	20.70	67193	57.11	57482	75.85	72460	26.77	72266	36.98	83207	61.26	49587	 2.38	55958	44.23	68038	49.41	57685	42.96	118648	 3.84	91354	17.24	84141	34.79	84903	26.14	92475	 3.41	105632	58.57	58888	13.00	64030	10.17	102881	14.99	88552	29.72	74172	46.30	41315	24.05	62544	23.05	71391	19.51	54873	52.88	74196	21.94	67312	 8.99	54352	60.06	69247	 7.90	135489	33.75	78533	23.74	78860	48.21	60370	67.19	120626	25.81	93966	38.09	146584	 6.00	65880	46.57	48433	50.58	114912	29.87	65246	 4.53	64337	22.93	82939	23.74	53864	28.38	69919	 5.70	71596	43.93	37492	43.34	37586	25.46	46212	 2.19	47436	20.76	36164	13.77	43139	12.18	100695	32.33	124608	69.50	96819	52.10	60962	47.38	215657	 0.37	213050	 1.14	147632	22.89	171864	46.77	147105	69.92	182403	91.79
lethal_CCDC67::chr11:93063575-93063634	46	48	60265	43.25	53264	49.31	63893	29.39	78250	65.79	52903	50.33	57584	46.34	108188	28.57	53727	37.09	83443	13.33	59217	71.21	75054	17.72	113662	25.86	57996	15.67	71800	26.04	71618	22.54	78035	 1.68	111921	66.67	83156	64.79	56229	17.84	118801	52.23	81878	14.87	75491	70.92	79904	 2.38	119607	52.61	119304	25.56	82327	24.30	90179	28.52	81448	29.54	76973	68.81	46227	65.55	66359	37.97	71066	58.21	71294	47.17	82834	 1.26	48790	41.53	75363	18.70	67193	57.26	57482	74.00	72460	25.44	72266	40.63	83207	58.93	49587	 2.00	55958	43.68	68038	49.92	57685	31.08	118648	 2.62	91354	15.96	84141	31.08	84903	25.47	92475	 1.58	105632	38.55	58888	 6.72	64030	 7.58	102881	12.14	88552	28.87	74172	45.60	41315	19.68	62544	19.83	71391	14.58	54873	52.84	74196	14.85	67312	 6.92	54352	59.81	69247	 3.95	135489	27.81	78533	22.68	78860	41.03	60370	66.51	120626	21.51	93966	34.78	146584	 5.42	65880	45.22	48433	49.65	114912	28.41	65246	 2.40	64337	22.67	82939	20.57	53864	26.68	69919	 3.01	71596	32.46	37492	43.93	37586	22.29	46212	 1.81	47436	12.47	36164	13.80	43139	12.05	100695	29.51	124608	68.53	96819	50.70	60962	45.99	215657	 0.60	213050	 1.08	147632	24.12	171864	49.25	147105	73.08	182403	96.00
lethal_CCDC67::chr11:93063575-93063634	48	50	60265	44.40	53264	50.57	63893	31.77	78250	67.09	52903	50.00	57584	47.12	108188	30.12	53727	39.56	83443	18.09	59217	71.94	75054	19.80	113662	31.28	57996	16.88	71800	29.59	71618	23.27	78035	 3.48	111921	68.24	83156	64.88	56229	20.08	118801	53.55	81878	15.10	75491	69.62	79904	 4.19	119607	52.50	119304	32.01	82327	27.56	90179	29.08	81448	30.05	76973	69.14	46227	65.23	66359	40.37	71066	59.01	71294	46.25	82834	 1.84	48790	49.72	75363	18.95	67193	57.71	57482	75.93	72460	27.20	72266	40.91	83207	60.93	49587	 2.28	55958	44.45	68038	46.96	57685	42.39	118648	 2.52	91354	16.58	84141	34.00	84903	22.69	92475	 3.16	105632	52.12	58888	10.05	64030	 8.19	102881	14.99	88552	28.33	74172	44.17	41315	23.00	62544	24.12	71391	16.56	54873	53.04	74196	13.63	67312	 8.43	54352	60.48	69247	 7.23	135489	30.16	78533	22.22	78860	45.43	60370	67.21	120626	24.41	93966	39.25	146584	 6.96	65880	46.58	48433	50.04	114912	30.25	65246	 3.05	64337	22.39	82939	23.21	53864	28.34	69919	 7.15	71596	37.63	37492	44.53	37586	25.69	46212	 2.52	47436	13.54	36164	14.19	43139	11.25	100695	30.88	124608	68.54	96819	51.77	60962	45.54	215657	 0.99	213050	 1.28	147632	25.65	171864	49.67	147105	73.38	182403	98.17
lethal_CCDC67::chr11:93063575-93063634	52	54	60265	44.05	53264	49.98	63893	31.67	78250	67.12	52903	49.18	57584	47.40	108188	30.24	53727	37.38	83443	14.63	59217	70.52	75054	19.78	113662	27.05	57996	17.23	71800	26.76	71618	23.02	78035	 2.34	111921	66.84	83156	65.92	56229	20.03	118801	52.18	81878	16.52	75491	71.82	79904	 3.83	119607	51.12	119304	24.06	82327	24.89	90179	28.41	81448	26.80	76973	68.45	46227	65.06	66359	39.00	71066	58.65	71294	44.57	82834	 1.88	48790	41.92	75363	19.52	67193	58.11	57482	75.85	72460	24.93	72266	36.55	83207	57.64	49587	 2.61	55958	43.82	68038	47.71	57685	42.88	118648	 3.30	91354	17.55	84141	33.63	84903	23.79	92475	 2.30	105632	45.50	58888	 8.77	64030	 8.32	102881	14.63	88552	27.87	74172	42.85	41315	20.28	62544	21.24	71391	14.71	54873	51.61	74196	14.98	67312	 7.92	54352	60.82	69247	 5.54	135489	27.00	78533	23.60	78860	42.79	60370	66.73	120626	21.50	93966	34.65	146584	 4.02	65880	46.61	48433	49.67	114912	30.89	65246	 2.10	64337	24.12	82939	24.46	53864	28.45	69919	 5.59	71596	38.08	37492	43.47	37586	24.38	46212	 2.44	47436	14.37	36164	15.27	43139	 6.67	100695	30.63	124608	69.26	96819	49.49	60962	50.12	215657	 0.41	213050	 0.57	147632	25.59	171864	48.94	147105	73.00	182403	95.31
