Amplicon	Cpos	Gpos	001-A1-1824.cov	001-A1-1824.ratio	002-B1-954.cov	002-B1-954.ratio	003-C1-1912.cov	003-C1-1912.ratio	004-D1-1757.cov	004-D1-1757.ratio	005-E1-2477.cov	005-E1-2477.ratio	006-F1-1436.cov	006-F1-1436.ratio	007-G1-1755.cov	007-G1-1755.ratio	008-H1-1954.cov	008-H1-1954.ratio	009-A2-1439.cov	009-A2-1439.ratio	010-B2-1963.cov	010-B2-1963.ratio	011-C2-1219.cov	011-C2-1219.ratio	012-D2-1924.cov	012-D2-1924.ratio	013-E2-1261.cov	013-E2-1261.ratio	014-F2-2074.cov	014-F2-2074.ratio	015-G2-2010.cov	015-G2-2010.ratio	016-H2-1274.cov	016-H2-1274.ratio	017-A3-1927.cov	017-A3-1927.ratio	018-B3-1309.cov	018-B3-1309.ratio	019-C3-956.cov	019-C3-956.ratio	020-D3-1712.cov	020-D3-1712.ratio	021-E3-565.cov	021-E3-565.ratio	022-F3-593.cov	022-F3-593.ratio	023-G3-1857.cov	023-G3-1857.ratio	024-H3-995.cov	024-H3-995.ratio	025-A4-1831.cov	025-A4-1831.ratio	026-B4-896.cov	026-B4-896.ratio	027-C4-2481.cov	027-C4-2481.ratio	028-D4-491.cov	028-D4-491.ratio	029-E4-2271.cov	029-E4-2271.ratio	030-F4-953.cov	030-F4-953.ratio	031-G4-2290.cov	031-G4-2290.ratio	032-H4-2512.cov	032-H4-2512.ratio	033-A5-2269.cov	033-A5-2269.ratio	034-B5-1734.cov	034-B5-1734.ratio	035-C5-2106.cov	035-C5-2106.ratio	036-D5-1804.cov	036-D5-1804.ratio	037-E5-1753.cov	037-E5-1753.ratio	038-F5-999.cov	038-F5-999.ratio	039-G5-1744.cov	039-G5-1744.ratio	040-H5-2414.cov	040-H5-2414.ratio	041-A6-947.cov	041-A6-947.ratio	042-B6-1377.cov	042-B6-1377.ratio	043-C6-1793.cov	043-C6-1793.ratio	044-D6-1893.cov	044-D6-1893.ratio	045-E6-535.cov	045-E6-535.ratio	046-F6-1438.cov	046-F6-1438.ratio	047-G6-1825.cov	047-G6-1825.ratio	048-H6-890.cov	048-H6-890.ratio	049-A7-2294.cov	049-A7-2294.ratio	050-B7-816.cov	050-B7-816.ratio	051-C7-2525.cov	051-C7-2525.ratio	052-D7-1225.cov	052-D7-1225.ratio	053-E7-2052.cov	053-E7-2052.ratio	054-F7-385.cov	054-F7-385.ratio	055-G7-496.cov	055-G7-496.ratio	056-H7-2182.cov	056-H7-2182.ratio	057-A8-2483.cov	057-A8-2483.ratio	058-B8-2079.cov	058-B8-2079.ratio	059-C8-2102.cov	059-C8-2102.ratio	060-D8-1651.cov	060-D8-1651.ratio	061-E8-891.cov	061-E8-891.ratio	062-F8-2114.cov	062-F8-2114.ratio	063-G8-2175.cov	063-G8-2175.ratio	064-H8-1856.cov	064-H8-1856.ratio	065-A9-2107.cov	065-A9-2107.ratio	066-B9-540.cov	066-B9-540.ratio	067-C9-1808.cov	067-C9-1808.ratio	068-D9-2424.cov	068-D9-2424.ratio	069-E9-2428.cov	069-E9-2428.ratio	070-F9-2321.cov	070-F9-2321.ratio	071-G9-897.cov	071-G9-897.ratio	072-H9-933.cov	072-H9-933.ratio	073-A10-924.cov	073-A10-924.ratio	074-B10-2313.cov	074-B10-2313.ratio	075-C10-1218.cov	075-C10-1218.ratio	076-D10-1603.cov	076-D10-1603.ratio	077-E10-1256.cov	077-E10-1256.ratio	078-F10-904.cov	078-F10-904.ratio	079-G10-1894.cov	079-G10-1894.ratio	080-H10-2246.cov	080-H10-2246.ratio	081-A11-2316.cov	081-A11-2316.ratio	082-B11-2127.cov	082-B11-2127.ratio	083-C11-2466.cov	083-C11-2466.ratio	084-D11-448.cov	084-D11-448.ratio	085-E11-2510.cov	085-E11-2510.ratio	086-F11-613.cov	086-F11-613.ratio	087-G11-2144.cov	087-G11-2144.ratio	088-H11-1754.cov	088-H11-1754.ratio	089-A12-1916.cov	089-A12-1916.ratio	090-B12-1619.cov	090-B12-1619.ratio	091-C12-2603.cov	091-C12-2603.ratio	092-D12-1826.cov	092-D12-1826.ratio	093-E12-2607.cov	093-E12-2607.ratio	094-F12-1376.cov	094-F12-1376.ratio	095-G12-2452.cov	095-G12-2452.ratio	096-H12-2393.cov	096-H12-2393.ratio
lethal_CACNA2D4::chr12:1906518-1906585	20	22	67695	 7.89	62760	28.74	79787	43.89	33199	26.72	90166	49.60	82967	12.55	84091	73.38	89590	 8.77	22865	24.57	49707	64.50	35266	26.99	53215	 8.31	39074	 9.28	38593	24.41	9830	 3.49	27414	16.01	105684	60.76	79592	33.50	67587	48.63	64221	17.84	45152	32.90	66590	19.76	43266	33.85	19126	12.45	49964	 9.59	25434	 6.09	43464	 8.55	43234	52.50	35611	 3.00	35950	 3.86	97674	51.32	55047	10.28	39910	43.22	35948	54.28	56835	34.29	27026	10.63	59352	51.33	74614	26.96	28117	39.69	56843	55.44	48761	50.58	33878	57.86	29916	53.29	88052	39.55	101819	72.81	37923	37.20	39118	15.07	50206	67.62	61708	54.25	51855	31.57	108878	22.68	80535	85.28	95970	55.84	94748	32.72	57741	79.42	68851	 5.42	87994	45.16	26885	 4.50	69248	65.49	51478	36.15	22979	 3.32	58375	 6.54	35514	48.05	37235	 6.50	57889	10.34	52645	77.39	100815	50.98	34275	 5.20	74860	66.02	48214	 5.36	54469	62.34	63596	 4.27	59838	 1.90	77777	62.15	87114	59.76	106144	81.94	80021	28.93	48239	55.19	78015	11.62	71087	40.30	91436	14.30	36898	34.52	58956	 6.73	124357	57.17	64045	45.48	78527	 8.93	130974	31.83	44357	54.03	73535	 6.50	68234	56.11	102091	 8.24	65251	 7.34	132740	67.30	96781	25.30	95980	73.15	69699	47.99
lethal_CACNA2D4::chr12:1906518-1906585	34	36	67695	 8.20	62760	31.44	79787	49.18	33199	26.00	90166	52.57	82967	15.52	84091	77.34	89590	 6.84	22865	27.77	49707	64.22	35266	35.22	53215	 7.77	39074	 8.28	38593	25.15	9830	 4.47	27414	19.00	105684	58.27	79592	29.27	67587	50.80	64221	15.03	45152	36.59	66590	19.06	43266	36.71	19126	13.00	49964	12.83	25434	 7.18	43464	 7.58	43234	55.03	35611	 3.88	35950	 6.48	97674	49.64	55047	13.29	39910	46.14	35948	58.69	56835	34.93	27026	11.84	59352	53.01	74614	31.90	28117	39.83	56843	57.26	48761	49.96	33878	60.47	29916	66.93	88052	45.94	101819	70.45	37923	38.93	39118	17.36	50206	68.49	61708	57.84	51855	36.83	108878	23.93	80535	85.43	95970	66.17	94748	39.27	57741	79.55	68851	 4.95	87994	47.40	26885	 6.63	69248	68.42	51478	37.25	22979	 4.22	58375	 8.72	35514	48.27	37235	 3.43	57889	12.89	52645	75.72	100815	52.40	34275	 8.57	74860	71.39	48214	 4.46	54469	62.61	63596	 4.36	59838	 2.72	77777	65.09	87114	64.57	106144	81.84	80021	39.12	48239	56.39	78015	15.73	71087	45.00	91436	14.61	36898	38.64	58956	 7.79	124357	58.40	64045	47.81	78527	10.86	130974	35.00	44357	54.21	73535	 6.01	68234	58.40	102091	 9.82	65251	 9.32	132740	69.63	96781	24.83	95980	75.14	69699	47.19
lethal_CACNA2D4::chr12:1906518-1906585	39	41	67695	 7.08	62760	28.45	79787	41.72	33199	25.94	90166	52.80	82967	13.90	84091	76.01	89590	 5.01	22865	23.87	49707	63.48	35266	33.39	53215	 8.11	39074	 4.72	38593	23.96	9830	 3.71	27414	14.99	105684	58.22	79592	26.64	67587	46.32	64221	14.20	45152	32.68	66590	18.18	43266	27.69	19126	12.23	49964	10.92	25434	 4.86	43464	 9.82	43234	51.43	35611	 1.87	35950	 3.88	97674	52.64	55047	10.06	39910	44.26	35948	57.05	56835	30.17	27026	 9.58	59352	53.26	74614	27.85	28117	40.43	56843	56.66	48761	49.03	33878	56.12	29916	59.32	88052	41.53	101819	73.81	37923	37.47	39118	14.44	50206	68.36	61708	57.14	51855	29.48	108878	23.33	80535	84.53	95970	63.94	94748	34.52	57741	79.04	68851	 2.29	87994	45.37	26885	 4.95	69248	59.69	51478	36.54	22979	 3.99	58375	 6.95	35514	45.75	37235	 6.55	57889	10.33	52645	76.59	100815	50.71	34275	 6.64	74860	71.01	48214	 4.66	54469	59.32	63596	 3.16	59838	 1.57	77777	60.52	87114	61.25	106144	78.28	80021	33.62	48239	54.42	78015	 9.16	71087	42.82	91436	10.09	36898	33.62	58956	 5.81	124357	54.86	64045	44.26	78527	10.12	130974	33.27	44357	52.55	73535	 5.85	68234	57.31	102091	 7.49	65251	 7.98	132740	72.06	96781	26.11	95980	75.25	69699	43.24
lethal_CACNA2D4::chr12:1906518-1906585	43	45	67695	 9.29	62760	32.76	79787	48.24	33199	28.15	90166	52.79	82967	21.56	84091	75.76	89590	 9.54	22865	28.44	49707	62.06	35266	36.79	53215	11.27	39074	 8.72	38593	27.32	9830	 4.66	27414	21.76	105684	59.23	79592	34.61	67587	52.55	64221	23.00	45152	39.90	66590	22.82	43266	40.77	19126	15.59	49964	12.68	25434	12.40	43464	14.66	43234	54.77	35611	 5.47	35950	10.22	97674	55.93	55047	17.94	39910	44.18	35948	57.90	56835	34.74	27026	17.57	59352	57.47	74614	32.00	28117	40.90	56843	58.86	48761	49.80	33878	64.74	29916	67.44	88052	44.34	101819	74.54	37923	42.35	39118	21.55	50206	69.01	61708	56.81	51855	40.89	108878	29.93	80535	86.30	95970	68.79	94748	43.55	57741	80.43	68851	 7.78	87994	46.67	26885	 8.79	69248	69.56	51478	38.26	22979	 5.68	58375	11.62	35514	48.74	37235	 6.65	57889	16.06	52645	78.20	100815	56.89	34275	13.34	74860	77.01	48214	 5.69	54469	63.83	63596	 6.09	59838	 4.29	77777	65.50	87114	69.33	106144	85.34	80021	38.91	48239	58.42	78015	17.00	71087	46.36	91436	16.32	36898	39.96	58956	13.49	124357	56.72	64045	48.97	78527	14.08	130974	36.19	44357	55.61	73535	12.54	68234	59.11	102091	11.67	65251	12.02	132740	73.55	96781	25.19	95980	77.85	69699	49.80
lethal_CACNA2D4::chr12:1906518-1906585	46	48	67695	 9.30	62760	35.41	79787	49.29	33199	24.84	90166	53.68	82967	21.28	84091	76.23	89590	 6.93	22865	28.71	49707	65.14	35266	39.20	53215	 9.57	39074	 8.70	38593	27.46	9830	 5.15	27414	19.17	105684	59.74	79592	41.44	67587	53.61	64221	21.32	45152	38.93	66590	24.26	43266	37.30	19126	14.70	49964	 9.39	25434	 8.55	43464	11.69	43234	55.34	35611	 4.72	35950	11.02	97674	53.94	55047	13.68	39910	46.82	35948	58.15	56835	35.35	27026	12.11	59352	55.13	74614	31.06	28117	42.32	56843	61.31	48761	52.76	33878	63.94	29916	68.98	88052	45.24	101819	71.88	37923	44.07	39118	21.79	50206	68.96	61708	59.18	51855	40.21	108878	29.51	80535	85.95	95970	69.66	94748	39.92	57741	81.15	68851	 5.98	87994	48.84	26885	 6.97	69248	68.74	51478	40.15	22979	 7.08	58375	11.86	35514	48.63	37235	 4.72	57889	17.27	52645	78.15	100815	54.63	34275	13.07	74860	75.80	48214	 7.20	54469	64.48	63596	 5.68	59838	 3.98	77777	65.90	87114	67.76	106144	83.38	80021	41.81	48239	59.00	78015	13.08	71087	45.34	91436	17.37	36898	42.50	58956	14.15	124357	57.51	64045	51.08	78527	10.72	130974	38.80	44357	55.80	73535	10.71	68234	58.42	102091	10.85	65251	11.42	132740	74.70	96781	26.73	95980	75.30	69699	47.73
lethal_CACNA2D4::chr12:1906518-1906585	49	51	67695	 9.19	62760	34.39	79787	50.03	33199	29.54	90166	56.39	82967	25.81	84091	76.03	89590	11.42	22865	28.05	49707	64.97	35266	37.74	53215	12.71	39074	11.78	38593	27.52	9830	 5.36	27414	21.05	105684	57.69	79592	36.85	67587	52.14	64221	22.02	45152	38.53	66590	20.50	43266	39.16	19126	14.80	49964	18.95	25434	10.49	43464	14.59	43234	55.58	35611	 3.74	35950	11.69	97674	54.99	55047	17.87	39910	46.54	35948	60.92	56835	34.58	27026	15.90	59352	56.17	74614	29.13	28117	41.81	56843	59.56	48761	53.15	33878	65.31	29916	70.36	88052	44.49	101819	71.17	37923	41.22	39118	26.77	50206	68.74	61708	53.11	51855	34.10	108878	30.11	80535	87.56	95970	70.78	94748	40.46	57741	80.77	68851	 8.88	87994	47.34	26885	 9.40	69248	65.09	51478	39.52	22979	 6.47	58375	12.68	35514	48.10	37235	 9.57	57889	17.51	52645	78.14	100815	55.39	34275	10.72	74860	75.00	48214	 9.01	54469	63.09	63596	 5.67	59838	 4.26	77777	66.40	87114	65.70	106144	84.42	80021	41.74	48239	59.51	78015	13.82	71087	45.10	91436	20.79	36898	40.54	58956	13.06	124357	58.58	64045	48.11	78527	10.04	130974	35.63	44357	54.76	73535	11.91	68234	58.70	102091	 8.73	65251	14.01	132740	71.88	96781	25.98	95980	78.29	69699	48.25
lethal_CACNA2D4::chr12:1906518-1906585	56	58	67695	 8.80	62760	34.16	79787	48.91	33199	30.59	90166	53.89	82967	25.79	84091	76.18	89590	10.42	22865	28.03	49707	62.87	35266	38.06	53215	11.64	39074	11.33	38593	27.16	9830	 4.86	27414	19.51	105684	60.19	79592	33.62	67587	51.08	64221	22.88	45152	35.19	66590	21.70	43266	37.51	19126	12.90	49964	14.78	25434	 9.30	43464	13.87	43234	54.18	35611	 1.46	35950	 9.32	97674	54.64	55047	17.39	39910	45.26	35948	58.24	56835	35.15	27026	14.72	59352	55.61	74614	25.58	28117	44.16	56843	58.23	48761	52.94	33878	63.47	29916	68.30	88052	41.27	101819	76.41	37923	43.14	39118	24.57	50206	69.06	61708	56.02	51855	42.01	108878	26.62	80535	86.68	95970	70.39	94748	40.32	57741	80.25	68851	 6.47	87994	47.58	26885	 7.41	69248	66.53	51478	39.11	22979	 5.66	58375	10.70	35514	47.87	37235	 5.39	57889	14.24	52645	76.80	100815	54.83	34275	 8.02	74860	73.87	48214	 7.25	54469	65.42	63596	 5.24	59838	 2.13	77777	65.60	87114	62.38	106144	83.12	80021	41.75	48239	58.47	78015	14.86	71087	46.55	91436	20.45	36898	42.06	58956	11.49	124357	56.38	64045	48.87	78527	10.24	130974	36.50	44357	55.55	73535	 9.07	68234	58.28	102091	 6.00	65251	13.02	132740	69.60	96781	24.38	95980	75.64	69699	49.03
lethal_CALM1::chr14:90850149-90850211	-1	1	86654	 1.94	70615	43.94	68907	13.82	94874	29.94	236181	33.70	46229	27.44	70812	53.48	67334	 2.96	74242	20.91	60534	57.15	51912	18.46	80689	48.27	119903	39.60	92530	26.26	31846	 3.74	96454	16.17	98173	52.75	104474	22.77	127591	14.94	103184	 3.26	33251	41.43	179971	 4.43	224863	33.64	80361	23.39	396801	 8.20	30272	31.65	177945	18.05	40747	34.73	138829	41.29	41092	43.00	172291	39.32	77744	 5.12	233644	40.95	53126	37.08	71911	11.46	90462	17.51	199199	14.53	94046	22.88	49954	28.53	101420	31.35	104338	68.74	95717	 6.47	107717	91.22	58243	13.65	126106	21.06	57244	19.48	37941	31.53	40025	91.57	110502	32.92	33827	17.05	121011	22.64	220393	16.75	83213	47.78	134942	18.97	31671	44.54	62436	10.98	145998	24.26	36457	18.39	83836	59.36	134370	 1.60	182435	12.24	116389	 3.92	43403	43.74	38294	29.73	48031	44.39	168356	22.22	76844	33.76	38514	34.34	89099	67.89	80927	20.91	110996	16.03	73528	 3.34	65210	70.59	73950	64.54	118126	53.27	97995	 0.74	79316	18.31	73044	21.60	335510	 2.69	100739	29.94	207548	 4.95	109249	15.71	152511	 6.62	55894	52.88	66400	33.50	182268	 6.44	70730	14.23	59526	11.00	119310	25.53	125008	 4.14	295275	 1.25	196287	11.76	158230	14.91	186994	22.23	101374	38.86	82867	45.25
lethal_CALM1::chr14:90850149-90850211	7	9	86654	 2.13	70615	41.43	68907	15.67	94874	29.16	236181	36.59	46229	28.29	70812	53.61	67334	 4.55	74242	21.52	60534	56.31	51912	19.66	80689	47.17	119903	38.58	92530	33.56	31846	 3.22	96454	15.61	98173	39.44	104474	23.32	127591	14.38	103184	 0.95	33251	40.72	179971	 4.69	224863	33.70	80361	23.32	396801	 8.13	30272	29.04	177945	15.63	40747	33.64	138829	41.53	41092	32.11	172291	39.20	77744	 5.37	233644	40.00	53126	40.44	71911	14.85	90462	17.40	199199	14.44	94046	23.00	49954	28.16	101420	30.79	104338	69.93	95717	 8.28	107717	90.72	58243	15.75	126106	20.51	57244	21.10	37941	27.69	40025	92.33	110502	32.77	33827	15.57	121011	21.56	220393	16.54	83213	47.07	134942	18.54	31671	44.23	62436	 8.83	145998	21.37	36457	18.14	83836	55.94	134370	 0.16	182435	12.43	116389	 4.42	43403	42.18	38294	20.12	48031	33.86	168356	22.72	76844	35.26	38514	31.98	89099	66.71	80927	21.53	110996	15.87	73528	 2.88	65210	70.24	73950	63.37	118126	52.32	97995	 0.99	79316	19.90	73044	23.60	335510	 3.26	100739	28.38	207548	 7.39	109249	16.73	152511	 6.51	55894	48.77	66400	32.24	182268	 5.86	70730	13.41	59526	10.04	119310	25.86	125008	 3.07	295275	 1.11	196287	10.71	158230	16.43	186994	23.59	101374	39.46	82867	42.98
lethal_CALM1::chr14:90850149-90850211	47	49	86654	 1.10	70615	41.80	68907	12.04	94874	25.35	236181	26.69	46229	10.40	70812	49.57	67334	 0.52	74242	19.43	60534	57.18	51912	12.90	80689	45.52	119903	35.21	92530	24.22	31846	 2.52	96454	10.72	98173	10.57	104474	24.29	127591	12.30	103184	 0.61	33251	38.46	179971	 4.00	224863	32.12	80361	22.77	396801	 7.34	30272	17.38	177945	 8.40	40747	27.57	138829	25.57	41092	22.98	172291	37.53	77744	 1.88	233644	39.94	53126	29.16	71911	 4.91	90462	15.43	199199	13.29	94046	22.17	49954	25.60	101420	26.56	104338	56.70	95717	 4.02	107717	90.99	58243	 8.93	126106	19.10	57244	10.88	37941	14.90	40025	90.07	110502	28.04	33827	11.13	121011	19.41	220393	16.11	83213	22.19	134942	12.56	31671	40.93	62436	12.46	145998	19.93	36457	 8.12	83836	56.98	134370	 0.56	182435	11.08	116389	 1.93	43403	39.90	38294	12.14	48031	24.98	168356	22.10	76844	33.29	38514	31.73	89099	65.92	80927	21.06	110996	10.65	73528	 1.73	65210	68.74	73950	63.90	118126	51.79	97995	 0.53	79316	16.18	73044	14.60	335510	 3.55	100739	27.36	207548	 3.96	109249	11.27	152511	 6.22	55894	50.42	66400	29.66	182268	 3.19	70730	 2.60	59526	 7.69	119310	22.72	125008	 1.83	295275	 1.25	196287	 9.10	158230	 9.02	186994	15.36	101374	35.60	82867	43.10
lethal_CCDC67::chr11:93063575-93063634	22	24	81042	17.25	61145	38.90	104763	19.01	42178	23.59	96411	42.70	94508	14.08	68948	64.91	87531	44.96	30458	30.03	50946	51.22	39962	33.71	78222	34.11	77771	 8.49	41006	12.64	16419	25.01	30790	 8.54	174321	 6.98	80819	15.28	61408	29.06	89737	 4.73	51820	36.46	68819	12.83	64451	32.60	35542	13.92	143194	33.07	43335	75.30	71357	 9.69	32682	23.73	45429	41.51	40121	28.14	105385	55.22	66302	18.22	40092	47.25	30015	50.92	58234	 1.69	39129	25.12	65617	22.61	64439	38.59	28231	37.24	44042	45.65	39722	69.62	27263	11.47	28409	70.63	72793	37.20	95529	49.08	45296	13.41	47278	35.16	30688	46.06	90381	13.44	80916	32.93	109959	24.52	78145	84.11	84889	22.29	96589	17.63	53168	68.67	82049	31.12	100449	25.04	36460	15.17	125403	 2.28	48979	27.30	44323	 1.23	78005	 8.80	47594	10.33	39714	33.36	70267	35.08	58358	25.76	106336	43.00	42137	76.20	84786	71.55	87744	62.99	75089	72.36	92371	25.23	72589	16.29	98111	57.70	126627	70.92	98380	86.91	83583	30.73	40856	32.66	169082	12.84	76097	33.22	113071	21.03	51306	16.17	102175	22.97	97073	44.80	68783	34.60	92020	18.47	142053	11.93	56009	30.38	96606	21.56	62966	38.47	155572	29.10	51766	38.25	106647	53.94	105671	28.12	79889	57.42	78654	47.92
lethal_CCDC67::chr11:93063575-93063634	32	34	81042	13.80	61145	37.50	104763	17.71	42178	20.71	96411	39.75	94508	 7.01	68948	64.20	87531	46.09	30458	28.76	50946	53.25	39962	31.28	78222	33.86	77771	 7.28	41006	 6.22	16419	22.71	30790	 7.67	174321	 1.63	80819	15.45	61408	24.95	89737	 4.20	51820	34.48	68819	13.01	64451	31.50	35542	 8.28	143194	32.33	43335	75.35	71357	 8.41	32682	21.55	45429	33.60	40121	21.47	105385	54.44	66302	13.23	40092	46.20	30015	52.00	58234	 1.01	39129	23.03	65617	20.55	64439	36.39	28231	35.23	44042	42.96	39722	64.83	27263	 5.18	28409	59.72	72793	25.90	95529	34.13	45296	11.08	47278	33.38	30688	44.77	90381	 8.75	80916	19.57	109959	21.98	78145	83.97	84889	20.15	96589	16.54	53168	67.53	82049	31.96	100449	21.78	36460	10.18	125403	 0.88	48979	26.44	44323	 1.60	78005	 4.07	47594	 9.17	39714	26.61	70267	25.58	58358	25.75	106336	41.74	42137	75.10	84786	67.98	87744	61.97	75089	73.37	92371	23.48	72589	 8.49	98111	59.26	126627	70.51	98380	87.63	83583	21.62	40856	30.24	169082	 8.11	76097	32.75	113071	15.76	51306	14.78	102175	21.18	97073	38.60	68783	30.52	92020	11.26	142053	 7.95	56009	26.08	96606	21.08	62966	32.38	155572	28.65	51766	36.10	106647	54.83	105671	21.37	79889	54.54	78654	47.63
lethal_CCDC67::chr11:93063575-93063634	40	42	81042	15.28	61145	38.21	104763	19.72	42178	21.77	96411	43.62	94508	 7.58	68948	65.82	87531	46.63	30458	30.11	50946	52.81	39962	32.98	78222	31.86	77771	 8.65	41006	11.67	16419	23.53	30790	 7.88	174321	 0.95	80819	15.53	61408	26.75	89737	 3.75	51820	37.04	68819	12.87	64451	31.58	35542	11.04	143194	31.86	43335	75.79	71357	 9.81	32682	23.92	45429	38.72	40121	23.88	105385	54.63	66302	15.42	40092	46.68	30015	50.93	58234	 2.21	39129	24.72	65617	20.01	64439	41.05	28231	37.54	44042	45.62	39722	74.01	27263	 5.91	28409	61.31	72793	39.04	95529	47.34	45296	12.05	47278	32.51	30688	42.01	90381	 8.94	80916	31.48	109959	22.30	78145	84.23	84889	21.28	96589	17.00	53168	67.21	82049	31.01	100449	24.56	36460	13.21	125403	 2.58	48979	27.95	44323	 1.06	78005	 5.98	47594	 9.28	39714	34.60	70267	29.09	58358	25.93	106336	42.58	42137	77.16	84786	71.25	87744	60.86	75089	73.72	92371	24.19	72589	12.55	98111	59.10	126627	69.71	98380	87.06	83583	30.05	40856	31.82	169082	11.07	76097	34.61	113071	17.99	51306	17.89	102175	22.12	97073	39.04	68783	32.14	92020	13.91	142053	 8.76	56009	28.91	96606	22.27	62966	35.92	155572	28.68	51766	37.44	106647	56.14	105671	25.87	79889	56.48	78654	45.56
lethal_CCDC67::chr11:93063575-93063634	46	48	81042	13.26	61145	36.65	104763	16.91	42178	19.73	96411	37.97	94508	 3.86	68948	65.38	87531	43.96	30458	27.90	50946	51.85	39962	34.25	78222	32.77	77771	 3.84	41006	 3.76	16419	21.40	30790	 6.27	174321	 2.53	80819	14.15	61408	25.49	89737	 3.37	51820	33.32	68819	12.18	64451	28.95	35542	 7.05	143194	30.04	43335	73.86	71357	 7.80	32682	22.54	45429	32.71	40121	15.55	105385	53.85	66302	14.70	40092	45.45	30015	50.78	58234	 1.05	39129	20.82	65617	19.57	64439	30.27	28231	35.16	44042	42.48	39722	63.66	27263	 3.24	28409	53.79	72793	23.91	95529	31.86	45296	 9.72	47278	32.28	30688	39.48	90381	 7.17	80916	22.78	109959	20.73	78145	83.69	84889	20.07	96589	15.18	53168	68.94	82049	28.08	100449	20.34	36460	 7.51	125403	 2.27	48979	26.02	44323	 0.94	78005	 2.54	47594	 9.08	39714	38.22	70267	21.57	58358	25.95	106336	38.56	42137	74.72	84786	65.19	87744	58.06	75089	72.99	92371	24.48	72589	 4.74	98111	57.29	126627	72.19	98380	87.63	83583	25.32	40856	30.68	169082	 8.87	76097	33.79	113071	16.38	51306	16.25	102175	20.92	97073	39.72	68783	31.61	92020	12.57	142053	 9.24	56009	24.28	96606	22.91	62966	30.44	155572	25.74	51766	35.10	106647	53.07	105671	18.86	79889	56.03	78654	45.50
lethal_CCDC67::chr11:93063575-93063634	48	50	81042	14.58	61145	37.44	104763	19.74	42178	20.82	96411	43.38	94508	 7.16	68948	64.54	87531	45.75	30458	28.17	50946	51.91	39962	33.80	78222	31.88	77771	 6.55	41006	 5.14	16419	21.72	30790	 9.08	174321	 4.50	80819	14.28	61408	27.61	89737	 2.36	51820	35.81	68819	13.79	64451	32.81	35542	11.02	143194	34.18	43335	75.73	71357	10.36	32682	22.78	45429	37.38	40121	23.39	105385	55.75	66302	16.17	40092	46.89	30015	48.66	58234	 0.72	39129	24.11	65617	20.27	64439	35.02	28231	37.48	44042	44.75	39722	65.99	27263	 4.45	28409	63.78	72793	36.74	95529	46.05	45296	11.57	47278	31.33	30688	42.64	90381	 7.53	80916	33.93	109959	21.75	78145	83.60	84889	23.21	96589	16.74	53168	68.48	82049	33.42	100449	21.17	36460	 9.73	125403	 1.48	48979	26.22	44323	 1.41	78005	 3.70	47594	 9.23	39714	34.78	70267	27.35	58358	25.86	106336	40.50	42137	73.97	84786	69.67	87744	60.18	75089	73.49	92371	24.54	72589	 9.71	98111	58.75	126627	72.01	98380	87.61	83583	25.26	40856	32.12	169082	11.45	76097	33.14	113071	18.85	51306	16.55	102175	20.73	97073	38.47	68783	31.91	92020	13.05	142053	 9.55	56009	24.65	96606	22.97	62966	33.65	155572	27.78	51766	36.16	106647	51.57	105671	23.63	79889	58.36	78654	45.15
lethal_CCDC67::chr11:93063575-93063634	52	54	81042	11.93	61145	36.98	104763	18.25	42178	20.64	96411	36.79	94508	 5.19	68948	64.23	87531	44.22	30458	29.27	50946	52.47	39962	31.65	78222	33.37	77771	 4.45	41006	 6.59	16419	22.70	30790	 8.46	174321	 1.41	80819	13.89	61408	26.40	89737	 3.68	51820	34.22	68819	12.71	64451	29.16	35542	 8.48	143194	31.69	43335	74.44	71357	 7.29	32682	23.01	45429	32.91	40121	18.05	105385	55.09	66302	14.63	40092	48.53	30015	54.20	58234	 1.07	39129	21.61	65617	19.25	64439	32.72	28231	36.48	44042	44.06	39722	62.18	27263	 2.72	28409	55.81	72793	32.28	95529	37.08	45296	11.09	47278	33.56	30688	39.33	90381	 7.03	80916	28.54	109959	22.58	78145	83.61	84889	18.53	96589	15.72	53168	68.59	82049	27.31	100449	22.58	36460	 8.77	125403	 2.15	48979	26.21	44323	 1.41	78005	 4.02	47594	 8.62	39714	39.79	70267	18.76	58358	25.71	106336	38.16	42137	75.99	84786	68.50	87744	59.51	75089	73.36	92371	22.34	72589	 5.84	98111	58.65	126627	72.24	98380	86.54	83583	23.67	40856	32.11	169082	 9.31	76097	34.29	113071	14.98	51306	18.08	102175	24.14	97073	39.06	68783	31.43	92020	11.07	142053	13.58	56009	25.61	96606	23.20	62966	29.37	155572	26.77	51766	38.80	106647	53.22	105671	20.98	79889	56.48	78654	47.38
